Source,Target,Type,Weight
1,2,Undirected,15
1,3,Undirected,65
1,4,Undirected,68
1,5,Undirected,17
1,6,Undirected,119
1,7,Undirected,117
1,8,Undirected,112
1,9,Undirected,74
1,10,Undirected,22
1,11,Undirected,40
1,12,Undirected,11
1,13,Undirected,125
1,14,Undirected,96
1,15,Undirected,91
1,16,Undirected,6
1,17,Undirected,38
1,18,Undirected,3
1,19,Undirected,116
1,20,Undirected,6
2,3,Undirected,14
2,4,Undirected,26
2,5,Undirected,4
2,6,Undirected,25
2,7,Undirected,26
2,8,Undirected,20
2,9,Undirected,14
2,10,Undirected,5
2,11,Undirected,8
2,12,Undirected,5
2,13,Undirected,24
2,14,Undirected,17
2,15,Undirected,19
2,16,Undirected,3
2,17,Undirected,6
2,18,Undirected,2
2,19,Undirected,26
2,20,Undirected,2
3,4,Undirected,101
3,5,Undirected,25
3,6,Undirected,104
3,7,Undirected,104
3,8,Undirected,101
3,9,Undirected,53
3,10,Undirected,29
3,11,Undirected,43
3,12,Undirected,20
3,13,Undirected,116
3,14,Undirected,78
3,15,Undirected,80
3,16,Undirected,6
3,17,Undirected,29
3,18,Undirected,3
3,19,Undirected,105
3,20,Undirected,3
4,5,Undirected,25
4,6,Undirected,110
4,7,Undirected,117
4,8,Undirected,104
4,9,Undirected,58
4,10,Undirected,32
4,11,Undirected,45
4,12,Undirected,17
4,13,Undirected,121
4,14,Undirected,83
4,15,Undirected,81
4,16,Undirected,7
4,17,Undirected,26
4,18,Undirected,4
4,19,Undirected,113
4,20,Undirected,2
5,6,Undirected,26
5,7,Undirected,25
5,8,Undirected,23
5,9,Undirected,14
5,10,Undirected,18
5,11,Undirected,6
5,12,Undirected,5
5,13,Undirected,27
5,14,Undirected,16
5,15,Undirected,13
5,16,Undirected,3
5,17,Undirected,6
5,18,Undirected,3
5,19,Undirected,25
5,20,Undirected,1
6,7,Undirected,154
6,8,Undirected,140
6,9,Undirected,82
6,10,Undirected,28
6,11,Undirected,58
6,12,Undirected,20
6,13,Undirected,164
6,14,Undirected,120
6,15,Undirected,117
6,16,Undirected,11
6,17,Undirected,47
6,18,Undirected,4
6,19,Undirected,155
6,20,Undirected,5
7,8,Undirected,145
7,9,Undirected,83
7,10,Undirected,28
7,11,Undirected,57
7,12,Undirected,17
7,13,Undirected,164
7,14,Undirected,120
7,15,Undirected,119
7,16,Undirected,10
7,17,Undirected,45
7,18,Undirected,4
7,19,Undirected,155
7,20,Undirected,5
8,9,Undirected,81
8,10,Undirected,29
8,11,Undirected,54
8,12,Undirected,20
8,13,Undirected,156
8,14,Undirected,115
8,15,Undirected,109
8,16,Undirected,11
8,17,Undirected,49
8,18,Undirected,4
8,19,Undirected,148
8,20,Undirected,6
9,10,Undirected,19
9,11,Undirected,22
9,12,Undirected,8
9,13,Undirected,88
9,14,Undirected,64
9,15,Undirected,55
9,16,Undirected,8
9,17,Undirected,24
9,18,Undirected,2
9,19,Undirected,81
9,20,Undirected,4
10,11,Undirected,7
10,12,Undirected,7
10,13,Undirected,32
10,14,Undirected,19
10,15,Undirected,20
10,16,Undirected,2
10,17,Undirected,6
10,18,Undirected,2
10,19,Undirected,33
10,20,Undirected,2
11,12,Undirected,6
11,13,Undirected,61
11,14,Undirected,47
11,15,Undirected,55
11,16,Undirected,6
11,17,Undirected,20
11,18,Undirected,3
11,19,Undirected,58
11,20,Undirected,4
12,13,Undirected,17
12,14,Undirected,13
12,15,Undirected,13
12,16,Undirected,4
12,17,Undirected,3
12,18,Undirected,2
12,19,Undirected,20
12,20,Undirected,1
13,14,Undirected,133
13,15,Undirected,125
13,16,Undirected,10
13,17,Undirected,52
13,18,Undirected,3
13,19,Undirected,166
13,20,Undirected,6
14,15,Undirected,102
14,16,Undirected,10
14,17,Undirected,38
14,18,Undirected,2
14,19,Undirected,124
14,20,Undirected,4
15,16,Undirected,6
15,17,Undirected,35
15,18,Undirected,4
15,19,Undirected,122
15,20,Undirected,6
16,17,Undirected,4
16,18,Undirected,1
16,19,Undirected,9
16,20,Undirected,1
17,18,Undirected,1
17,19,Undirected,42
17,20,Undirected,4
18,19,Undirected,4
18,20,Undirected,1
19,20,Undirected,6
1,21,Undirected,127
1,22,Undirected,86
1,23,Undirected,84
1,24,Undirected,61
1,25,Undirected,33
1,26,Undirected,3
1,27,Undirected,114
1,28,Undirected,19
1,29,Undirected,10
1,30,Undirected,51
4,21,Undirected,125
21,22,Undirected,116
21,23,Undirected,129
7,21,Undirected,169
21,24,Undirected,92
14,21,Undirected,136
8,21,Undirected,162
13,21,Undirected,182
9,21,Undirected,90
21,25,Undirected,65
21,26,Undirected,3
21,27,Undirected,158
19,21,Undirected,172
17,21,Undirected,51
21,28,Undirected,38
21,29,Undirected,20
21,30,Undirected,100
4,22,Undirected,53
4,23,Undirected,89
4,24,Undirected,62
4,25,Undirected,65
4,26,Undirected,3
4,27,Undirected,102
4,28,Undirected,32
4,29,Undirected,20
4,30,Undirected,101
22,23,Undirected,81
7,22,Undirected,104
22,24,Undirected,63
14,22,Undirected,93
8,22,Undirected,104
13,22,Undirected,113
9,22,Undirected,55
22,25,Undirected,35
22,26,Undirected,2
22,27,Undirected,107
19,22,Undirected,112
17,22,Undirected,42
22,28,Undirected,23
22,29,Undirected,14
22,30,Undirected,45
7,23,Undirected,118
23,24,Undirected,67
14,23,Undirected,95
8,23,Undirected,115
13,23,Undirected,124
9,23,Undirected,57
23,25,Undirected,47
23,26,Undirected,2
23,27,Undirected,115
19,23,Undirected,121
17,23,Undirected,33
23,28,Undirected,27
23,29,Undirected,14
23,30,Undirected,70
7,24,Undirected,91
7,25,Undirected,58
7,26,Undirected,3
7,27,Undirected,141
7,28,Undirected,35
7,29,Undirected,15
7,30,Undirected,99
14,24,Undirected,71
8,24,Undirected,80
13,24,Undirected,87
9,24,Undirected,48
24,25,Undirected,29
24,26,Undirected,1
24,27,Undirected,76
19,24,Undirected,89
17,24,Undirected,16
24,28,Undirected,22
24,29,Undirected,11
24,30,Undirected,54
14,25,Undirected,41
14,26,Undirected,2
14,27,Undirected,118
14,28,Undirected,25
14,29,Undirected,13
14,30,Undirected,63
8,25,Undirected,54
8,26,Undirected,2
8,27,Undirected,139
8,28,Undirected,33
8,29,Undirected,20
8,30,Undirected,81
13,25,Undirected,62
13,26,Undirected,3
13,27,Undirected,153
13,28,Undirected,34
13,29,Undirected,20
13,30,Undirected,94
9,25,Undirected,33
9,26,Undirected,2
9,27,Undirected,75
9,28,Undirected,21
9,29,Undirected,10
9,30,Undirected,39
25,26,Undirected,3
25,27,Undirected,54
19,25,Undirected,57
17,25,Undirected,20
25,28,Undirected,20
25,29,Undirected,16
25,30,Undirected,51
26,27,Undirected,3
19,26,Undirected,3
17,26,Undirected,2
26,28,Undirected,1
26,29,Undirected,1
26,30,Undirected,2
19,27,Undirected,148
17,27,Undirected,48
27,28,Undirected,31
27,29,Undirected,15
27,30,Undirected,79
19,28,Undirected,35
19,29,Undirected,19
19,30,Undirected,92
17,28,Undirected,12
17,29,Undirected,6
17,30,Undirected,21
28,29,Undirected,7
28,30,Undirected,29
29,30,Undirected,12
1,31,Undirected,100
1,32,Undirected,92
1,33,Undirected,15
1,34,Undirected,24
1,35,Undirected,11
1,36,Undirected,7
1,37,Undirected,28
3,21,Undirected,118
3,31,Undirected,69
3,32,Undirected,92
3,33,Undirected,26
3,34,Undirected,33
3,23,Undirected,84
3,27,Undirected,97
3,25,Undirected,47
3,35,Undirected,14
3,30,Undirected,84
3,36,Undirected,6
3,37,Undirected,26
4,31,Undirected,68
4,32,Undirected,100
4,33,Undirected,27
4,34,Undirected,34
4,35,Undirected,15
4,36,Undirected,7
4,37,Undirected,28
21,31,Undirected,125
21,32,Undirected,142
21,33,Undirected,31
21,34,Undirected,41
10,21,Undirected,34
21,35,Undirected,15
21,36,Undirected,11
21,37,Undirected,38
31,32,Undirected,93
31,33,Undirected,16
31,34,Undirected,29
7,31,Undirected,113
23,31,Undirected,89
10,31,Undirected,19
8,31,Undirected,108
13,31,Undirected,122
14,31,Undirected,89
27,31,Undirected,105
25,31,Undirected,32
31,35,Undirected,10
19,31,Undirected,114
30,31,Undirected,55
31,36,Undirected,8
31,37,Undirected,31
32,33,Undirected,25
32,34,Undirected,34
7,32,Undirected,131
23,32,Undirected,100
10,32,Undirected,23
8,32,Undirected,123
13,32,Undirected,138
14,32,Undirected,105
27,32,Undirected,118
25,32,Undirected,52
32,35,Undirected,13
19,32,Undirected,128
30,32,Undirected,80
32,36,Undirected,8
32,37,Undirected,28
33,34,Undirected,8
7,33,Undirected,23
23,33,Undirected,9
10,33,Undirected,17
8,33,Undirected,25
13,33,Undirected,28
14,33,Undirected,18
27,33,Undirected,22
25,33,Undirected,13
33,35,Undirected,4
19,33,Undirected,25
30,33,Undirected,17
33,36,Undirected,4
33,37,Undirected,9
7,34,Undirected,42
23,34,Undirected,29
10,34,Undirected,11
8,34,Undirected,35
13,34,Undirected,38
14,34,Undirected,29
27,34,Undirected,27
25,34,Undirected,16
34,35,Undirected,7
19,34,Undirected,37
30,34,Undirected,31
34,36,Undirected,3
34,37,Undirected,10
7,35,Undirected,14
7,36,Undirected,8
7,37,Undirected,32
10,23,Undirected,19
23,35,Undirected,6
23,36,Undirected,5
23,37,Undirected,24
10,27,Undirected,28
10,25,Undirected,16
10,35,Undirected,5
10,30,Undirected,21
10,36,Undirected,3
10,37,Undirected,13
8,35,Undirected,10
8,36,Undirected,9
8,37,Undirected,30
13,35,Undirected,15
13,36,Undirected,11
13,37,Undirected,37
14,35,Undirected,6
14,36,Undirected,9
14,37,Undirected,29
27,35,Undirected,9
27,36,Undirected,9
27,37,Undirected,31
25,35,Undirected,7
25,36,Undirected,6
25,37,Undirected,19
19,35,Undirected,14
30,35,Undirected,13
35,36,Undirected,1
35,37,Undirected,4
19,36,Undirected,10
19,37,Undirected,36
30,36,Undirected,7
30,37,Undirected,23
36,37,Undirected,5
4,38,Undirected,63
3,38,Undirected,58
31,38,Undirected,28
21,38,Undirected,66
7,38,Undirected,58
32,38,Undirected,55
23,38,Undirected,50
6,38,Undirected,53
34,38,Undirected,20
24,38,Undirected,35
13,38,Undirected,62
8,38,Undirected,55
38,39,Undirected,31
15,38,Undirected,43
14,38,Undirected,43
38,40,Undirected,10
11,38,Undirected,25
38,41,Undirected,15
38,42,Undirected,6
19,38,Undirected,61
30,38,Undirected,53
38,43,Undirected,31
16,38,Undirected,5
37,38,Undirected,11
4,39,Undirected,53
4,40,Undirected,17
4,41,Undirected,28
4,42,Undirected,9
4,43,Undirected,51
3,24,Undirected,57
3,39,Undirected,53
3,40,Undirected,18
3,41,Undirected,26
3,42,Undirected,10
3,43,Undirected,45
6,31,Undirected,115
24,31,Undirected,62
31,39,Undirected,33
15,31,Undirected,88
31,40,Undirected,27
11,31,Undirected,44
31,41,Undirected,24
31,42,Undirected,23
31,43,Undirected,69
16,31,Undirected,7
6,21,Undirected,166
21,39,Undirected,61
15,21,Undirected,130
21,40,Undirected,37
11,21,Undirected,62
21,41,Undirected,35
21,42,Undirected,25
21,43,Undirected,95
16,21,Undirected,10
7,39,Undirected,55
7,40,Undirected,32
7,41,Undirected,33
7,42,Undirected,25
7,43,Undirected,88
6,32,Undirected,126
24,32,Undirected,79
32,39,Undirected,43
15,32,Undirected,100
32,40,Undirected,27
11,32,Undirected,50
32,41,Undirected,28
32,42,Undirected,18
32,43,Undirected,69
16,32,Undirected,9
6,23,Undirected,119
23,39,Undirected,48
15,23,Undirected,92
23,40,Undirected,30
11,23,Undirected,46
23,41,Undirected,27
23,42,Undirected,17
23,43,Undirected,67
16,23,Undirected,7
6,34,Undirected,39
6,24,Undirected,84
6,39,Undirected,56
6,40,Undirected,32
6,41,Undirected,32
6,42,Undirected,24
6,30,Undirected,90
6,43,Undirected,87
6,37,Undirected,35
24,34,Undirected,32
34,39,Undirected,19
15,34,Undirected,28
34,40,Undirected,9
11,34,Undirected,16
34,41,Undirected,11
34,42,Undirected,3
34,43,Undirected,18
16,34,Undirected,4
24,39,Undirected,32
15,24,Undirected,64
24,40,Undirected,16
11,24,Undirected,31
24,41,Undirected,22
24,42,Undirected,8
24,43,Undirected,50
16,24,Undirected,7
24,37,Undirected,19
13,39,Undirected,54
13,40,Undirected,36
13,41,Undirected,34
13,42,Undirected,25
13,43,Undirected,91
8,39,Undirected,51
8,40,Undirected,34
8,41,Undirected,30
8,42,Undirected,19
8,43,Undirected,81
15,39,Undirected,39
14,39,Undirected,34
39,40,Undirected,7
11,39,Undirected,19
39,41,Undirected,13
39,42,Undirected,4
19,39,Undirected,52
30,39,Undirected,48
39,43,Undirected,26
16,39,Undirected,4
37,39,Undirected,15
15,40,Undirected,32
15,41,Undirected,23
15,42,Undirected,19
15,30,Undirected,66
15,43,Undirected,68
15,37,Undirected,29
14,40,Undirected,30
14,41,Undirected,25
14,42,Undirected,19
14,43,Undirected,72
11,40,Undirected,24
40,41,Undirected,10
40,42,Undirected,9
19,40,Undirected,35
30,40,Undirected,14
40,43,Undirected,25
16,40,Undirected,3
37,40,Undirected,10
11,41,Undirected,13
11,42,Undirected,10
11,30,Undirected,40
11,43,Undirected,34
11,37,Undirected,13
41,42,Undirected,3
19,41,Undirected,34
30,41,Undirected,27
41,43,Undirected,19
16,41,Undirected,5
37,41,Undirected,5
19,42,Undirected,21
30,42,Undirected,6
42,43,Undirected,15
16,42,Undirected,1
37,42,Undirected,2
19,43,Undirected,90
30,43,Undirected,41
16,30,Undirected,6
16,43,Undirected,7
37,43,Undirected,20
16,37,Undirected,5
22,38,Undirected,33
25,38,Undirected,33
12,38,Undirected,11
3,22,Undirected,56
22,31,Undirected,69
12,31,Undirected,14
12,21,Undirected,21
22,32,Undirected,85
6,22,Undirected,105
22,34,Undirected,22
22,39,Undirected,30
15,22,Undirected,84
12,22,Undirected,11
22,40,Undirected,29
11,22,Undirected,39
22,41,Undirected,17
22,43,Undirected,76
16,22,Undirected,6
22,37,Undirected,23
12,32,Undirected,17
12,23,Undirected,16
6,25,Undirected,55
12,34,Undirected,6
25,39,Undirected,24
12,39,Undirected,12
15,25,Undirected,32
12,25,Undirected,8
25,40,Undirected,9
11,25,Undirected,14
25,41,Undirected,13
25,43,Undirected,26
16,25,Undirected,4
12,40,Undirected,3
12,41,Undirected,7
12,30,Undirected,14
12,43,Undirected,11
12,37,Undirected,4
1,44,Undirected,10
1,45,Undirected,61
1,46,Undirected,79
3,44,Undirected,5
3,45,Undirected,38
3,28,Undirected,26
3,46,Undirected,59
4,44,Undirected,3
4,45,Undirected,41
4,46,Undirected,56
2,21,Undirected,24
21,44,Undirected,11
21,45,Undirected,74
21,46,Undirected,111
2,34,Undirected,6
2,33,Undirected,4
2,44,Undirected,1
2,27,Undirected,20
2,45,Undirected,13
2,30,Undirected,20
2,36,Undirected,2
2,28,Undirected,8
2,46,Undirected,12
2,37,Undirected,3
7,44,Undirected,11
7,45,Undirected,66
7,46,Undirected,96
34,44,Undirected,3
9,34,Undirected,20
34,45,Undirected,17
28,34,Undirected,7
34,46,Undirected,19
33,44,Undirected,1
9,33,Undirected,14
15,33,Undirected,16
33,45,Undirected,12
28,33,Undirected,5
33,46,Undirected,15
8,44,Undirected,11
9,44,Undirected,3
13,44,Undirected,11
27,44,Undirected,8
14,44,Undirected,9
10,44,Undirected,2
15,44,Undirected,10
44,45,Undirected,4
30,44,Undirected,3
36,44,Undirected,1
19,44,Undirected,8
28,44,Undirected,2
44,46,Undirected,9
37,44,Undirected,4
8,45,Undirected,66
8,46,Undirected,97
9,45,Undirected,46
9,36,Undirected,8
9,46,Undirected,54
9,37,Undirected,20
13,45,Undirected,71
13,46,Undirected,105
15,27,Undirected,109
27,45,Undirected,64
27,46,Undirected,97
14,45,Undirected,52
14,46,Undirected,78
10,45,Undirected,11
10,28,Undirected,7
10,46,Undirected,18
15,45,Undirected,46
15,36,Undirected,6
15,28,Undirected,26
15,46,Undirected,77
30,45,Undirected,28
36,45,Undirected,6
19,45,Undirected,69
28,45,Undirected,14
45,46,Undirected,47
37,45,Undirected,15
30,46,Undirected,45
28,36,Undirected,2
36,46,Undirected,6
19,46,Undirected,101
28,46,Undirected,23
28,37,Undirected,7
37,46,Undirected,23
1,47,Undirected,2
1,42,Undirected,19
21,47,Undirected,9
4,47,Undirected,10
3,47,Undirected,9
31,47,Undirected,6
9,31,Undirected,64
34,47,Undirected,4
23,47,Undirected,8
32,47,Undirected,10
7,47,Undirected,10
24,47,Undirected,7
6,47,Undirected,7
9,47,Undirected,3
13,47,Undirected,9
11,47,Undirected,5
42,47,Undirected,2
14,47,Undirected,6
15,47,Undirected,8
9,32,Undirected,69
9,42,Undirected,11
1,48,Undirected,6
1,49,Undirected,30
3,48,Undirected,13
3,49,Undirected,37
3,29,Undirected,18
2,48,Undirected,1
2,32,Undirected,23
2,49,Undirected,8
2,25,Undirected,13
2,35,Undirected,2
2,29,Undirected,3
4,48,Undirected,13
4,49,Undirected,39
21,48,Undirected,15
5,21,Undirected,28
21,49,Undirected,58
18,21,Undirected,3
5,48,Undirected,5
32,48,Undirected,13
7,48,Undirected,11
6,48,Undirected,7
8,48,Undirected,14
9,48,Undirected,6
15,48,Undirected,8
11,48,Undirected,4
48,49,Undirected,5
13,48,Undirected,15
25,48,Undirected,6
35,48,Undirected,3
18,48,Undirected,1
19,48,Undirected,11
28,48,Undirected,3
29,48,Undirected,6
30,48,Undirected,5
46,48,Undirected,9
5,32,Undirected,19
5,49,Undirected,7
5,25,Undirected,18
5,35,Undirected,4
5,28,Undirected,5
5,29,Undirected,13
5,30,Undirected,19
5,46,Undirected,13
32,49,Undirected,43
18,32,Undirected,2
28,32,Undirected,29
29,32,Undirected,15
32,46,Undirected,78
7,49,Undirected,51
6,49,Undirected,45
6,35,Undirected,13
6,28,Undirected,29
6,29,Undirected,15
6,46,Undirected,96
8,49,Undirected,47
9,49,Undirected,24
9,35,Undirected,7
15,49,Undirected,45
15,35,Undirected,8
15,29,Undirected,8
11,49,Undirected,17
11,35,Undirected,6
11,28,Undirected,13
11,29,Undirected,3
11,46,Undirected,34
13,49,Undirected,55
25,49,Undirected,13
35,49,Undirected,4
18,49,Undirected,3
19,49,Undirected,55
28,49,Undirected,7
29,49,Undirected,8
30,49,Undirected,33
46,49,Undirected,34
18,25,Undirected,1
25,46,Undirected,35
18,35,Undirected,1
28,35,Undirected,5
29,35,Undirected,4
35,46,Undirected,6
18,28,Undirected,1
18,29,Undirected,1
18,30,Undirected,3
18,46,Undirected,1
29,46,Undirected,15
38,50,Undirected,7
27,38,Undirected,49
38,49,Undirected,29
38,51,Undirected,4
38,52,Undirected,3
18,38,Undirected,1
3,50,Undirected,9
3,51,Undirected,11
3,52,Undirected,11
4,50,Undirected,9
21,50,Undirected,10
23,50,Undirected,4
32,50,Undirected,8
7,50,Undirected,6
6,50,Undirected,7
8,50,Undirected,9
15,50,Undirected,6
13,50,Undirected,9
14,50,Undirected,5
27,50,Undirected,7
49,50,Undirected,4
50,51,Undirected,2
50,52,Undirected,2
19,50,Undirected,7
30,50,Undirected,5
18,50,Undirected,2
4,51,Undirected,7
4,52,Undirected,11
21,51,Undirected,11
21,52,Undirected,14
23,49,Undirected,38
23,51,Undirected,6
23,52,Undirected,12
18,23,Undirected,1
32,51,Undirected,8
32,52,Undirected,11
